Roènı preh¾ad prijímate¾ov pod¾a stavu k 31. decembru 2025 pod¾a § 50 zákona è. 595/2003 Z. z. o dani z príjmov v znení neskorších predpisov;;;;;
IÈO;Názov prijímate¾a;Sídlo prijímate¾a;;;Poskytnutı súhrn podielov zaplatenej dane (eur)
;;Adresa;Obec;PSÈ;
001774740405;Dobrovo¾nı hasièskı zbor Zálesie;Trojièné námestie 1;Zálesie;90028;4 717,65
001774740406;Dobrovo¾nı hasièskı zbor Most pri Bratislave;Bratislavská 824;Most pri Bratislave;90046;974,73
001774740410;Dobrovo¾nı hasièskı zbor Reca;Hlavná 24;Reca;92526;421,54
001774740504;Dobrovo¾nı hasièskı zbor Jaslovské Bohunice;Šidúnky 331/1;Jaslovské Bohunice;91930;624,57
001774740509;Dobrovo¾nı hasièskı zbor Kriovany nad Dudváhom;;Kriovany nad Dudváhom;91924;4 080,68
001774740511;Dobrovo¾nı hasièskı zbor Bíòovce; 134;Bíòovce;91907;2 683,55
001774740512;Dobrovo¾nı hasièskı zbor Bohdanovce nad Trnavou; 278;Bohdanovce nad Trnavou;91909;2 111,11
001774740514;Dobrovo¾nı hasièskı zbor Špaèince;Poštová 189/12;Špaèince;91951;2 758,79
001774740525;Dobrovo¾nı hasièskı zbor Buèany; 269;Buèany;91928;552,38
001774740531;Dobrovo¾nı hasièskı zbor Boleráz II. - Klèovany; 326;Boleráz;91908;3 226,60
001774740534;Dobrovo¾nı hasièskı zbor Malenice; 294;Malenice;91929;406,28
001774740601;Dobrovo¾nı hasièskı zbor Zlaté Klasy;Hlavná 141;Zlaté Klasy;93039;2 775,40
001774740602;Dobrovo¾nı hasièskı zbor Rohovce; 171;Rohovce;93030;3 989,33
001774740606;Dobrovo¾nı hasièskı zbor Hubice; 26;Hubice;93039;1 208,28
001774740611;Dobrovo¾nı hasièskı zbor Štvrtok na Ostrove;Mıtne námestie 1;Štvrtok na Ostrove;93040;1 248,37
001774740612;Dobrovo¾nı hasièskı zbor Gabèíkovo;Hlavná 1029/41;Gabèíkovo;93005;3 363,41
001774740614;Dobrovo¾nı hasièskı zbor Ve¾kı Meder;Hlavná 3716;Ve¾kı Meder;93201;4 284,31
001774740615;Dobrovo¾nı hasièskı zbor Vydrany;Nám. Sv. Štefana 71;Vydrany;93016;865,02
001774740616;Dobrovo¾nı hasièskı zbor Jurová; 85;Jurová;93004;998,74
001774740621;Dobrovo¾nı hasièskı zbor Orechová Potôò; 474;Orechová Potôò;93002;3 015,47
001774740623;Dobrovo¾nı hasièskı zbor Bodíky; 95;Bodíky;93031;1 291,19
001774740642;Dobrovo¾nı hasièskı zbor Sap; 48;Sap;93006;2 533,06
001774740647;Dobrovo¾nı hasièskı zbor Bohe¾ov; 12;Bohe¾ov;92901;1 380,79
001774740661;Dobrovo¾nı hasièskı zbor Òárad; 78;Òárad;93006;234,25
001774740707;Dobrovo¾nı hasièskı zbor Váhovce; 329;Váhovce;92562;1 035,22
001774740718;Dobrovo¾nı hasièskı zbor Mostová; 120;Mostová;92507;415,69
001774740901;Dobrovo¾nı hasièskı zbor Prašník; 93;Prašník;92211;2 684,61
001774740906;Dobrovo¾nı hasièskı zbor Vrbové;M.R.Štefánika 15/4;Vrbové;92203;815,63
001774740907;Dobrovo¾nı hasièskı zbor Moravany nad Váhom;Kostolecká 175/4;Moravany nad Váhom;92221;1 268,53
001774741004;Dobrovo¾nı hasièskı zbor Borskı Mikuláš;Komenského 377/2;Borskı Mikuláš;90877;2 106,20
001774741006;Dobrovo¾nı hasièskı zbor Borskı Svätı Jur; 684;Borskı Svätı Jur;90879;789,93
001774741007;Dobrovo¾nı hasièskı zbor Podbranè - Horná Dolina; 92;Podbranè;90641;622,32
001774741008;Dobrovo¾nı hasièskı zbor Hradište pod Vrátnom; 80;Hradište pod Vrátnom;90612;1 017,43
001774741010;Dobrovo¾nı hasièskı zbor Jablonica; 585;Jablonica;90632;2 106,70
001774741011;Dobrovo¾nı hasièskı zbor Lakšárska Nová Ves; 90;Lakšárska Nová Ves;90876;2 116,07
001774741013;Dobrovo¾nı hasièskı zbor Rybky; 90;Rybky;90604;1 108,38
001774741016;Dobrovo¾nı hasièskı zbor Koválov; 181;Koválov;90603;756,61
001774741017;DOBROVO¼Nİ HASIÈSKİ ZBOR Bílkove Humence; 132;Bílkove Humence;90877;727,56
001774741021;Dobrovo¾nı hasièskı zbor Šajdíkove Humence; 48;Šajdíkove Humence;90607;1 508,44
